Verse,Sentence number,Segment ,Sentiment class,Fun score,Translation ,Relevant lexicon - Sentiment,Relevant lexicon - Fun,Comments
492-494,59,"ἄνθρωπος ἀμαθὴς οὑτοσὶ καὶ βάρβαρος. δέδοικά σʼ ὦ πρεσβῦτα μὴ πληγῶν δέει. φέρʼ ἴδω τί δρᾷς, ἤν τίς σε τύπτῃ;",Negative,1,"This man is ignorant and brutish--I fear, old man, lest you will need blows. Come, let me see; what do you do if any one beat you?","ἀμαθής, βάρβαρος",,
506-508,60,ἐς τὼ χεῖρέ νυν δός μοι μελιτοῦτταν πρότερον· ὡς δέδοικʼ ἐγὼ εἴσω καταβαίνων ὥσπερ ἐς Τροφωνίου.,Negative,1,"Then give me first into my hands a honeyed cake; for I am afraid of descending within, as if into the cave of Trophonius.",,,
510-517,61,"ἀλλʼ ἴθι χαίρων τῆς ἀνδρείας οὕνεκα ταύτης. εὐτυχία γένοιτο τἀνθρώπῳ, ὅτι προήκων ἐς βαθὺ τῆς ἡλικίας νεωτέροις τὴν φύσιν αὑτοῦ πράγμασιν χρωτίζεται καὶ σοφίαν ἐπασκεῖ.",Positive,1,"Well, go in peace, for the sake of this your valour. May prosperity attend the man, because, being advanced into the vale of years, he imbues his intellect with modern subjects, and cultivates wisdom!",,,
563-574,62,"ὑψιμέδοντα μὲν θεῶν Ζῆνα τύραννον ἐς χορὸν πρῶτα μέγαν κικλήσκω· τόν τε μεγασθενῆ τριαίνης ταμίαν, γῆς τε καὶ ἁλμυρᾶς θαλάσσης ἄγριον μοχλευτήν· καὶ μεγαλώνυμον ἡμέτερον πατέρʼ Αἰθέρα σεμνότατον βιοθρέμμονα πάντων· τόν θʼ ἱππονώμαν, ὃς ὑπερλάμπροις ἀκτῖσιν κατέχει γῆς πέδον μέγας ἐν θεοῖς ἐν θνητοῖσί τε δαίμων.",Positive,1,"I first invoke, to join our choral band, the mighty Jupiter, ruling on high, the monarch of gods; and the potent master of the trident, the fierce upheaver of earth and briny sea; and our father of great renown, most august Aether, life-supporter of all; and the horse-guider, who fills the plain of the earth with exceeding bright beams, a mighty deity among gods and mortals.",,,
595-606,63,"ἀμφί μοι αὖτε Φοῖβʼ ἄναξ Δήλιε Κυνθίαν ἔχων ὑψικέρατα πέτραν, ἥ τʼ Ἐφέσου μάκαιρα πάγχρυσον ἔχεις οἶκον ἐν ᾧ κόραι σε Λυδῶν μεγάλως σέβουσιν, ἥ τʼ ἐπιχώριος ἡμετέρα θεὸς αἰγίδος ἡνίοχος πολιοῦχος Ἀθάνα, Παρνασσίαν θʼ ὃς κατέχων πέτραν σὺν πεύκαις σελαγεῖ Βάκχαις Δελφίσιν ἐμπρέπων, κωμαστὴς Διόνυσος.",Positive,0,"Hear me again, King Phoebus, Delian Apollo, who inhabitest the high-peaked Cynthian rock! And thou, blessed goddess, who inhabitest the all-golden house of Ephesus, in which Lydian damsels greatly reverence thee; and thou, our national goddess, swayer of the aegis, Minerva, guardian of the city! And thou, reveler Bacchus, who, inhabiting the Parnassian rock, sparklest with torches, conspicuous among the Delphic Bacchanals!",,,
627-633,64,μὰ τὴν Ἀναπνοὴν μὰ τὸ Χάος μὰ τὸν Ἀέρα οὐκ εἶδον οὕτως ἄνδρʼ ἄγροικον οὐδένα οὐδʼ ἄπορον οὐδὲ σκαιὸν οὐδʼ ἐπιλήσμονα· ὅστις σκαλαθυρμάτιʼ ἄττα μικρὰ μανθάνων ταῦτʼ ἐπιλέλησται πρὶν μαθεῖν· ὅμως γε μὴν αὐτὸν καλῶ θύραζε δευρὶ πρὸς τὸ φῶς. ποῦ Στρεψιάδης; ἔξει τὸν ἀσκάντην λαβών;,Negative,1,"By Respiration, and Chaos, and Air, I have not seen any man so boorish, nor so impracticable, nor so stupid, nor so forgetful; who, while learning some little petty quibbles, forgets them before he has learned them. Nevertheless I will certainly call him out here to the light. Where is Strepsiades? Come forth with your couch.","ἄγροικος, σκαιός, ἐπιλήσμων",,
637-639,65,ἄγε δὴ τί βούλει πρῶτα νυνὶ μανθάνειν ὧν οὐκ ἐδιδάχθης πώποτʼ οὐδέν; εἰπέ μοι. πότερα περὶ μέτρων ἢ περὶ ἐπῶν ἢ ῥυθμῶν;,Neutral,0,"Come now; what do you now wish to learn first of those things in none of which you have ever been instructed? Tell me. About measures, or rhythms, or verses?",,,
641-642,66,"οὐ τοῦτʼ ἐρωτῶ σʼ, ἀλλʼ ὅ τι κάλλιστον μέτρον ἡγεῖ· πότερα τὸ τρίμετρον ἢ τὸ τετράμετρον;",Neutral,1,"I do not ask you this, but which you account the most beautiful measure; the trimetre or the tetrameter?",,,
649-651,67,"πρῶτον μὲν εἶναι κομψὸν ἐν συνουσίᾳ, ἐπαΐονθʼ ὁποῖός ἐστι τῶν ῥυθμῶν κατʼ ἐνόπλιον, χὠποῖος αὖ κατὰ δάκτυλον.",Positive,0,"In the first place, to be clever at an entertainment, understanding what rhythm is for the war-dance, and what, again, according to the dactyle.",κομψός,,
667-669,68,ἀλεκτρύαιναν; εὖ γε νὴ τὸν Ἀέρα· ὥστʼ ἀντὶ τούτου τοῦ διδάγματος μόνου διαλφιτώσω σου κύκλῳ τὴν κάρδοπον.,Negative,1,"Alektryaina? Capital, by the Air! So that, in return for this lesson alone, I will fill your kardopos full of barley-meal on all sides.",,,
675-677,69,"ἀλλʼ ὦγάθʼ οὐδʼ ἦν κάρδοπος Κλεωνύμῳ, ἀλλʼ ἐν θυείᾳ στρογγύλῃ γʼ ἂν ἐμάττετο. ἀτὰρ τὸ λοιπὸν πῶς με χρὴ καλεῖν;",Negative,2,"Good sir, Cleonymus had no kneading-trough, but kneaded his bread in a round mortar. How ought I to call it henceforth?",,,
681,70,"ἔτι δή γε περὶ τῶν ὀνομάτων μαθεῖν σε δεῖ, ἅττʼ ἄρρενʼ ἐστίν, ἅττα δʼ αὐτῶν θήλεα.",Neutral,0,"You must learn one thing more about names, what are masculine and what of them are feminine.",,,
700-706,71,"φρόντιζε δὴ καὶ διάθρει πάντα τρόπον τε σαυτὸν στρόβει πυκνώσας. ταχὺς δʼ, ὅταν εἰς ἄπορον πέσῃς, ἐπʼ ἄλλο πήδα νόημα φρενός· ὕπνος δʼ ἀπέστω γλυκύθυμος ὀμμάτων.",Neutral,1,"Now meditate and examine closely; and roll yourself about in every way, having wrapped yourself up; and quickly, when you fall into a difficulty, spring to another mental contrivance. But let delightful sleep be absent from your eyes.",,,
709-715,72,"ἀπόλλυμαι δείλαιος· ἐκ τοῦ σκίμποδος δάκνουσί μʼ ἐξέρποντες οἱ Κορίνθιοι, καὶ τὰς πλευρὰς δαρδάπτουσιν καὶ τὴν ψυχὴν ἐκπίνουσιν καὶ τοὺς ὄρχεις ἐξέλκουσιν καὶ τὸν πρωκτὸν διορύττουσιν, καί μʼ ἀπολοῦσιν.",Negative,2,"Wretched man, I am perishing! The Corinthians, coming out from the bed, are biting me, and devouring my sides, and drinking up my life-blood, and tearing away my flesh, and digging through my vitals, and will annihilate me.",δείλαιος,Κορίνθιος,
717-722,73,"καὶ πῶς; ὅτε μου φροῦδα τὰ χρήματα, φρούδη χροιά, φρούδη ψυχή, φρούδη δʼ ἐμβάς· καὶ πρὸς τούτοις ἔτι τοῖσι κακοῖς φρουρᾶς ᾄδων ὀλίγου φροῦδος γεγένημαι.",Negative,1,"Why, how, when my money is gone, my complexion gone, my life gone, and my slipper gone? And furthermore in addition to these evils, with singing the night-watches, I am almost gone myself.",κακός,,
740-742,74,"ἴθι νῦν καλύπτου καὶ σχάσας τὴν φροντίδα λεπτὴν κατὰ μικρὸν περιφρόνει τὰ πράγματα, ὀρθῶς διαιρῶν καὶ σκοπῶν.",Neutral,0,"Come then, wrap yourself up, and having given your mind play with subtilty, revolve your affairs by little and little, rightly distinguishing and examining.",,,
749-752,75,"γυναῖκα φαρμακίδʼ εἰ πριάμενος Θετταλὴν καθέλοιμι νύκτωρ τὴν σελήνην, εἶτα δὴ αὐτὴν καθείρξαιμʼ ἐς λοφεῖον στρογγύλον, ὥσπερ κάτοπτρον, κᾆτα τηροίην ἔχων —",Neutral,1,"Now tell me this, pray; if I were to purchase a Thessalian witch, and draw down the moon by night, and then shut it up, as if it were a mirror, in a round crest-case, and then carefully keep it-",,,
758-760,76,"εὖ γʼ· ἀλλʼ ἕτερον αὖ σοι προβαλῶ τι δεξιόν. εἴ σοι γράφοιτο πεντετάλαντός τις δίκη, ὅπως ἂν αὐτὴν ἀφανίσειας εἰπέ μοι.",Neutral,0,"Capital! But I will again propose to you another clever question. If a suit of five talents should be entered against you, tell me how you would obliterate it.",,,
762-764,77,"μή νυν περὶ σαυτὸν εἶλλε τὴν γνώμην ἀεί, ἀλλʼ ἀποχάλα τὴν φροντίδʼ ἐς τὸν ἀέρα λινόδετον ὥσπερ μηλολόνθην τοῦ ποδός.",Positive,1,"Do not then always revolve your thoughts about yourself; but slack away your mind into the air, like a cock-chafer tied with a thread by the foot.",,,
766-767,78,"ἤδη παρὰ τοῖσι φαρμακοπώλαις τὴν λίθον ταύτην ἑόρακας τὴν καλήν, τὴν διαφανῆ, ἀφʼ ἧς τὸ πῦρ ἅπτουσι;",Neutral,0,"Have you ever seen this stone in the chemist's shops, the beautiful and transparent one, from which they kindle fire?",,,
769-772,79,"ἔγωγε. φέρε τί δῆτʼ ἄν, εἰ ταύτην λαβών, ὁπότε γράφοιτο τὴν δίκην ὁ γραμματεύς, ἀπωτέρω στὰς ὧδε πρὸς τὸν ἥλιον τὰ γράμματʼ ἐκτήξαιμι τῆς ἐμῆς δίκης;",Neutral,1,"I do. Come what would you say, pray, if I were to take this, when the clerk was entering the suit, and were to stand at a distance, in the direction of the sun, thus, and melt out the letters of my suit?",,,
787-788,80,φέρʼ ἴδω τί μέντοι πρῶτον ἦν; τί πρῶτον ἦν; τίς ἦν ἐν ᾗ ʼματτόμεθα μέντοι τἄλφιτα; οἴμοι τίς ἦν;,Neutral,2,"Come, let me see: nay, what was the first? What was the fist? Nay, what was the thing in which we knead our flour? Ah me! What was it?",,,
791-793,81,οἴμοι τί οὖν δῆθʼ ὁ κακοδαίμων πείσομαι; ἀπὸ γὰρ ὀλοῦμαι μὴ μαθὼν γλωττοστροφεῖν. ἀλλʼ ὦ Νεφέλαι χρηστόν τι συμβουλεύσατε.,Negative,1,"Ah me, what then, pray will become of me, wretched man? For I shall be utterly undone, if I do not learn to ply the tongue. Come, O ye Clouds, give me some good advice.",κακοδαίμων,,
794-796,82,"ἡμεῖς μὲν ὦ πρεσβῦτα συμβουλεύομεν, εἴ σοί τις υἱός ἐστιν ἐκτεθραμμένος, πέμπειν ἐκεῖνον ἀντὶ σαυτοῦ μανθάνειν.",Neutral,0,"We, old man, advise you, if you have a son grown up, to send him to learn in your stead.",,,
800-803,83,"εὐσωματεῖ γὰρ καὶ σφριγᾷ, κἄστʼ ἐκ γυναικῶν εὐπτέρων τῶν Κοισύρας. ἀτὰρ μέτειμί γʼ αὐτόν· ἢν δὲ μὴ ʼθέλῃ, οὐκ ἔσθʼ ὅπως οὐκ ἐξελῶ κʼ τῆς οἰκίας. ἀλλʼ ἐπανάμεινόν μʼ ὀλίγον εἰσελθὼν χρόνον.",Positive,,"Yes, for he is robust in body, and in good health, and is come of the high-plumed dames of Coesyra. I will go for him, and if he be not willing, I will certainly drive him from my house. Go in and wait for me a short time.",,,
804-813,84,"ἆρʼ αἰσθάνει πλεῖστα διʼ ἡμᾶς ἀγάθʼ αὐτίχʼ ἕξων μόνας θεῶν; ὡς ἕτοιμος ὅδʼ ἐστὶν ἅπαντα δρᾶν ὅσʼ ἂν κελεύῃς. σὺ δʼ ἀνδρὸς ἐκπεπληγμένου καὶ φανερῶς ἐπηρμένου γνοὺς ἀπολάψεις ὅ τι πλεῖστον δύνασαι, ταχέως· φιλεῖ γάρ πως τὰ τοιαῦθʼ ἑτέρᾳ τρέπεσθαι.",Negative,0,"Do you perceive that you are soon to obtain the greatest benefits through us alone of the gods? For this man is ready to do everything that you bid him. But you, while the man is astounded and evidently elated, having perceived it, will quickly fleece him to the best of your power. For matters of this sort are somehow accustomed to turn the other way.",,,
820-824,85,"ἐνθυμούμενος ὅτι παιδάριον εἶ καὶ φρονεῖς ἀρχαιϊκά. ὅμως γε μὴν πρόσελθʼ, ἵνʼ εἰδῇς πλείονα, καί σοι φράσω τι πρᾶγμʼ ὃ μαθὼν ἀνὴρ ἔσει. ὅπως δὲ τοῦτο μὴ διδάξεις μηδένα.",Negative,1,"Reflecting that you are a child, and have antiquated notions. Yet, however, approach, that you may know more; and I will tell you a thing, by learning which you will be a man. But see that you do not teach this to any one.",,,
834-837,86,"εὐστόμει καὶ μηδὲν εἴπῃς φλαῦρον ἄνδρας δεξιοὺς καὶ νοῦν ἔχοντας· ὧν ὑπὸ τῆς φειδωλίας ἀπεκείρατʼ οὐδεὶς πώποτʼ οὐδʼ ἠλείψατο, οὐδʼ ἐς βαλανεῖον ἦλθε λουσόμενος·",Positive,1,"Speak words of good omen, and say nothing bad of clever men and wise; of whom, through frugality, none ever shaved or anointed himself, or went to a bath to wash himself;",δεξιός,,
837-839,87,σὺ δὲ ὥσπερ τεθνεῶτος καταλόει μου τὸν βίον. ἀλλʼ ὡς τάχιστʼ ἐλθὼν ὑπὲρ ἐμοῦ μάνθανε.,Negative,1,"While you squander my property in bathing, as if I were already dead. But go as quickly as possible and learn instead of me.",,,
841-843,88,ἄληθες; ὅσαπερ ἔστʼ ἐν ἀνθρώποις σοφά· γνώσει δὲ σαυτὸν ὡς ἀμαθὴς εἶ καὶ παχύς. ἀλλʼ ἐπανάμεινόν μʼ ὀλίγον ἐνταυθοῖ χρόνον.,Mixed,1,"What, really? Whatever wisdom there is among men. And you will know yourself, how ignorant and stupid you are. But wait for me here a short time.",,,
844-846,89,"οἴμοι τί δράσω παραφρονοῦντος τοῦ πατρός; πότερον παρανοίας αὐτὸν εἰσαγαγὼν ἕλω, ἢ τοῖς σοροπηγοῖς τὴν μανίαν αὐτοῦ φράσω;",Negative,2,"Ah me! What shall I do, my father being crazed? Shall I bring him into court and convict him of lunacy, or shall I give information of his madness to the coffin-makers?",,,
849-851,90,"ἄμφω ταὐτό; καταγέλαστος εἶ. μή νυν τὸ λοιπόν, ἀλλὰ τήνδε μὲν καλεῖν ἀλεκτρύαιναν τουτονὶ δʼ ἀλέκτορα.",Negative,1,"Both the same? You are very ridiculous. Do not do so, then, for the future; but call this alektryaina, and this one alektor.",καταγέλαστος,,
859-864,91,"ὥσπερ Περικλέης ἐς τὸ δέον ἀπώλεσα. ἀλλʼ ἴθι βάδιζʼ, ἴωμεν· εἶτα τῷ πατρὶ πιθόμενος ἐξάμαρτε· κἀγώ τοί ποτε, οἶδʼ, ἑξέτει σοι τραυλίσαντι πιθόμενος, ὃν πρῶτον ὀβολὸν ἔλαβον ἡλιαστικόν, τούτου ʼπριάμην σοι Διασίοις ἁμαξίδα.",Neutral,1,"I have expended them, like Pericles, for needful purposes. Come, move, let us go. And then if you obey your father, go wrong if you like. I also know that I formerly obeyed you, a lisping child of six years old, and bought you a go-cart at the Diasia, with the first obolus I received from the Heliaea.",,,
866-867,92,"εὖ γʼ ὅτι ἐπείσθης. δεῦρο δεῦρʼ ὦ Σώκρατες, ἔξελθʼ· ἄγω γάρ σοι τὸν υἱὸν τουτονὶ ἄκοντʼ ἀναπείσας.",Positive,1,"It is well done of you that you obeyed. Come hither, come hither O Socrates! Come forth, for I bring to you this son of mine, having persuaded him against his will.",,,
872-876,93,"ἰδοὺ κρέμαιʼ, ὡς ἠλίθιον ἐφθέγξατο καὶ τοῖσι χείλεσιν διερρυηκόσιν. πῶς ἂν μάθοι ποθʼ οὗτος ἀπόφυξιν δίκης ἢ κλῆσιν ἢ χαύνωσιν ἀναπειστηρίαν; καίτοι γε ταλάντου τοῦτʼ ἔμαθεν Ὑπέρβολος.",Negative,2,"“Were hanged” quoth 'a! How sillily he pronounced it, and with lips wide apart! How can this youth ever learn an acquittal from a trial or a legal summons, or persuasive refutation? And yet Hyperbolus learned this at the cost of a talent.",,,
916-919,94,διὰ σὲ δὲ φοιτᾶν οὐδεὶς ἐθέλει τῶν μειρακίων· καὶ γνωσθήσει ποτʼ Ἀθηναίοις οἶα διδάσκεις τοὺς ἀνοήτους.,Negative,0,"And through you, no one of our youths is willing to go to school; and you will be found out some time or other by the Athenians, what sort of doctrines you teach the simple-minded.",,,
921-924,95,"σὺ δέ γʼ εὖ πράττεις. καίτοι πρότερόν γʼ ἐπτώχευες, Τήλεφος εἶναι Μυσὸς φάσκων, ἐκ πηριδίου γνώμας τρώγων Πανδελετείους.",Negative,1,"And you are prosperous. And yet formerly you were a beggar saying that you were the Mysian Telephus, and gnawing the maxims of Pandeletus out of your little wallet.",,,
934-938,96,"παύσασθε μάχης καὶ λοιδορίας. ἀλλʼ ἐπίδειξαι σύ τε τοὺς προτέρους ἅττʼ ἐδίδασκες, σύ τε τὴν καινὴν παίδευσιν, ὅπως ἂν ἀκούσας σφῷν ἀντιλεγόντοιν κρίνας φοιτᾷ.",Neutral,0,"Cease from contention and railing. But show to us, you, what you used to teach the men of former times, and you, the new system of education; in order that, having heard you disputing, he may decide and go to the school of one or the other.",,,
941-948,97,"τούτῳ δώσω· κᾆτʼ ἐκ τούτων ὧν ἂν λέξῃ ῥηματίοισιν καινοῖς αὐτὸν καὶ διανοίαις κατατοξεύσω. τὸ τελευταῖον δʼ, ἢν ἀναγρύζῃ, τὸ πρόσωπον ἅπαν καὶ τὠφθαλμὼ κεντούμενος ὥσπερ ὑπʼ ἀνθρηνῶν ὑπὸ τῶν γνωμῶν ἀπολεῖται.",Positive,2,"I will give him the precedence; and then, from these things which he adduces, I will shoot him dead with new words and thoughts. And at last, if he mutter, he shall be destroyed, being stung in his whole face and his two eyes by my maxims, as if by bees.",,,"violent language, but it is a gloat so it is positive."
949-958,98,"νῦν δείξετον τὼ πισύνω τοῖς περιδεξίοισι λόγοισι καὶ φροντίσι καὶ γνωμοτύποις μερίμναις, ὁπότερος αὐτοῖν λέγων ἀμείνων φανήσεται. νῦν γὰρ ἅπας ἐνθάδε κίνδυνος ἀνεῖται σοφίας, ἧς πέρι τοῖς ἐμοῖς φίλοις ἐστὶν ἀγὼν μέγιστος.",Neutral,1,"Now the two, relying on very dexterous arguments and thoughts, and sententious maxims, will show which of them shall appear superior in argument. For now the whole crisis of wisdom is here laid before them; about which my friends have a very great contest.",,,
959-960,99,"ἀλλʼ ὦ πολλοῖς τοὺς πρεσβυτέρους ἤθεσι χρηστοῖς στεφανώσας, ῥῆξον φωνὴν ᾗτινι χαίρεις, καὶ τὴν σαυτοῦ φύσιν εἰπέ.",Neutral,0,"But do you, who adorned our elders with many virtuous manners, utter the voice in which you rejoice, and declare your nature.",,,
1000-1001,100,"εἰ ταῦτʼ ὦ μειράκιον πείσει τούτῳ, νὴ τὸν Διόνυσον τοῖς Ἱπποκράτους υἱέσιν εἴξεις καὶ σε καλοῦσι βλιτομάμμαν.",Negative,1,"If you shall believe him in this, O youth, by Bacchus, you will be like the sons of Hippocrates, and they will call you a booby.",βλιτομάμμας,,
1024-1033,101,"ὦ καλλίπυργον σοφίαν κλεινοτάτην ἐπασκῶν, ὡς ἡδύ σου τοῖσι λόγοις σῶφρον ἔπεστιν ἄνθος. †εὐδαίμονες δʼ ἦσαν ἄρʼ οἱ ζῶντες τότʼ ἐπὶ τῶν προτέρων†· πρὸς τάδε σʼ ὦ κομψοπρεπῆ μοῦσαν ἔχων, δεῖ σε λέγειν τι καινόν, ὡς ηὐδοκίμηκεν ἁνήρ.",Positive,1,"O thou that practisest most renowned high-towering wisdom! How sweetly does a modest grace attend your words! Happy, therefore, were they who lived in those days, in the times of former men! In reply, then, to these, O thou that hast a dainty-seeming Muse, it behooveth thee to say something new; since the man has gained renown.","καλλίπυργος, κλεινός, εὐδαίμων, κομψοπρεπής",,
1034-1035,102,"δεινῶν δέ σοι βουλευμάτων ἔοικε δεῖν πρὸς αὐτόν, εἴπερ τὸν ἄνδρʼ ὑπερβαλεῖ καὶ μὴ γέλωτʼ ὀφλήσεις.",Neutral,0,"And it appears you have need of powerful arguments against him, if you are to conquer the man and not incur laughter.",,,
1047-1049,103,"ἐπίσχες· εὐθὺς γάρ σʼ ἔχω μέσον λαβὼν ἄφυκτον. καί μοι φράσον, τῶν τοῦ Διὸς παίδων τίνʼ ἄνδρʼ ἄριστον ψυχὴν νομίζεις, εἰπέ, καὶ πλείστους πόνους πονῆσαι.",Neutral,1,"Stop! For immediately I seize and hold you by the waist without escape. Come, tell me, which of the sons of Jupiter do you deem to have been the bravest in soul, and to have undergone most labours?",,,
1053-1054,104,"ταῦτʼ ἐστὶ ταῦτʼ ἐκεῖνα, ἃ τῶν νεανίσκων ἀεὶ διʼ ἡμέρας λαλούντων πλῆρες τὸ βαλανεῖον ποιεῖ, κενὰς δὲ τὰς παλαίστρας.",Negative,0,"These are the very things which make the bath full of youths always chattering all day long, but the palaestras empty.",,,
1064-1066,105,"μάχαιραν; ἀστεῖόν γε κέρδος ἔλαβεν ὁ κακοδαίμων. Ὑπέρβολος δʼ οὑκ τῶν λύχνων πλεῖν ἢ τάλαντα πολλὰ εἴληφε διὰ πονηρίαν, ἀλλʼ οὐ μὰ Δίʼ οὐ μάχαιραν.",Negative,0,"A sword? Marry, he got a pretty piece of luck, the poor wretch! While Hyperbolus, he of the lamps, got more than many talents by his villainy, but by Jupiter, no sword!",,,
1083-1084,106,"τί δʼ ἢν ῥαφανιδωθῇ πιθόμενός σοι τέφρᾳ τε τιλθῇ, ἕξει τινὰ γνώμην λέγειν τὸ μὴ εὐρύπρωκτος εἶναι;",Negative,1,"But what if he should suffer the radish through obeying you, and be depillated with hot ashes? What argument will he be able to state, to prove that he is not a blackguard?","ῥαφανιδόω, εὐρύπρωκτος",εὐρύπρωκτος,Verb: ῥαφανιδόω (thrust a radish up the fundament). This was a punishment for adulterers.
1098-1100,107,πολὺ πλείονας νὴ τοὺς θεοὺς τοὺς εὐρυπρώκτους· τουτονὶ γοῦν οἶδʼ ἐγὼ κἀκεινονὶ καὶ τὸν κομήτην τουτονί.,Negative,1,"By the gods, the blackguards to be far more numerous. This fellow, at any rate, I know; and him yonder; and this fellow with the long hair.",εὐρύπρωκτος,,
1107-1110,108,"δίδασκε καὶ κόλαζε καὶ μέμνησʼ ὅπως εὖ μοι στομώσεις αὐτόν, ἐπὶ μὲν θάτερα οἷον δικιδίοις, τὴν δʼ ἑτέραν αὐτοῦ γνάθον στόμωσον οἵαν ἐς τὰ μείζω πράγματα.",Neutral,1,"Teach him, and chastise him: and remember that you train him properly; on the one side able for petty suits; but train his other jaw able for the more important causes.",,,
1146-1149,109,κἄγωγέ σʼ· ἀλλὰ τουτονὶ πρῶτον λαβέ· χρὴ γὰρ ἐπιθαυμάζειν τι τὸν διδάσκαλον. καί μοι τὸν υἱὸν εἰ μεμάθηκε τὸν λόγον ἐκεῖνον εἴφʼ ὃν ἀρτίως εἰσήγαγες.,Neutral,0,"The same to you. But first accept this present; for one ought to compliment the teacher with a fee. And tell me about my son, if he has learned that cause, which you just now brought forward.",,,
1154-1164,110,"βοάσομαί τἄρα τὰν ὑπέρτονον βοάν. ἰὼ κλάετʼ ὦ ʼβολοστάται αὐτοί τε καὶ τἀρχαῖα καὶ τόκοι τόκων· οὐδὲν γὰρ ἄν με φλαῦρον ἐργάσαισθʼ ἔτι, οἷος ἐμοὶ τρέφεται τοῖσδʼ ἐνὶ δώμασι παῖς, ἀμφήκει γλώττῃ λάμπων, πρόβολος ἐμός, σωτὴρ δόμοις, ἐχθροῖς βλάβη, λυσανίας πατρῴων μεγάλων κακῶν· ὃν κάλεσον τρέχων ἔνδοθεν ὡς ἐμέ.",Positive,2,"Then I will shout with a very loud shout: Ho! Weep, you petty-usurers, both you and your principals, and your compound interests! For you can no longer do me any harm, because such a son is being reared for me in this house, shining with a double-edged tongue, for my guardian, the preserver of my house, a mischief to my enemies, ending the sadness of the great woes of his father. Him do thou run and summon from within to me. O child! O son! Come forth from the house! Hear your father!",,,
1170-1177,111,"ἰὼ ἰὼ τέκνον, ἰὼ ἰοῦ ἰοῦ. ὡς ἥδομαί σου πρῶτα τὴν χρόαν ἰδών. νῦν μέν γʼ ἰδεῖν εἶ πρῶτον ἐξαρνητικὸς κἀντιλογικός, καὶ τοῦτο τοὐπιχώριον ἀτεχνῶς ἐπανθεῖ, τὸ  ἀδικοῦντʼ ἀδικεῖσθαι καὶ κακουργοῦντʼ οἶδʼ ὅτι· ἐπὶ τοῦ προσώπου τʼ ἐστὶν Ἀττικὸν βλέπος. νῦν οὖν ὅπως σώσεις μʼ, ἐπεὶ κἀπώλεσας.",Positive,1,"Oh, oh, my child! Huzza! Huzza! How I am delighted at the first sight of your complexion! Now, indeed, you are, in the first place, negative and disputatious to look at, and this fashion native to the place plainly appears, the “what do you say?” and the seeming to be injured when, I well know, you are injuring and inflicting a wrong; and in your countenance there is the Attic look. Now, therefore, see that you save me, since you have also ruined me.",ἥδομαι,,Verb: ἥδομαι (to be pleased)
1189-1191,112,"ἐκεῖνος οὖν τὴν κλῆσιν ἐς δύʼ ἡμέρας ἔθηκεν, ἔς γε τὴν ἕνην τε καὶ νέαν, ἵνʼ αἱ θέσεις γίγνοιντο τῇ νουμηνίᾳ.",Neutral,0,"He therefore made the summons for two days, for the Old and New, that the deposits might be made on the first of the month.",,,
1193-1196,113,"ἵνʼ ὦ μέλε παρόντες οἱ φεύγοντες ἡμέρᾳ μιᾷ πρότερον ἀπαλλάττοινθʼ ἑκόντες, εἰ δὲ μή, ἕωθεν ὑπανιῷντο τῇ νουμηνία.",Neutral,0,"In order, my good sir, that the defendants, being present a day before, might compromise the matter of their own accord; but if not, that they might be worried on the morning of the new moon.",,,
1198-1200,114,"ὅπερ οἱ προτένθαι γὰρ δοκοῦσί μοι ποιεῖν· ὅπως τάχιστα τὰ πρυτανεῖʼ ὑφελοίατο, διὰ τοῦτο προὐτένθευσαν ἡμέρᾳ μιᾷ.",Neutral,0,"They seem to me to do what the forestallers do: in order that they may appreciate the deposits as soon as possible, on this account they have the first pick by one day.",,,
1201-1205,115,"εὖ γʼ· ὦ κακοδαίμονες, τί κάθησθʼ ἀβέλτεροι, ἡμέτερα κέρδη τῶν σοφῶν ὄντες, λίθοι, ἀριθμός, πρόβατʼ ἄλλως, ἀμφορῆς νενησμένοι; ὥστʼ εἰς ἐμαυτὸν καὶ τὸν υἱὸν τουτονὶ ἐπʼ εὐτυχίαισιν ᾀστέον μοὐγκώμιον.",Positive,1,"Bravo! Ye wretches, why do you sit senseless, the gain of us wise men, being blocks, ciphers, mere sheep, jars heaped together, wherefore I must sing an encomium upon myself and this my son, on account of our good fortune.","σοφός, εὐτυχία",,
1209-1212,116,φήσουσι δή μʼ οἱ φίλοι χοἰ δημόται ζηλοῦντες ἡνίκʼ ἂν σὺ νικᾷς λέγων τὰς δίκας. ἀλλʼ εἰσάγων σε βούλομαι πρῶτον ἑστιᾶσαι.,Positive,1,"My friends and fellow-tribesmen will say of me, envying me, when you prove victorious in arguing causes. But first I wish to lead you in and entertain you.",,,
