Verse,Sentence number,Segment,Sentiment class,Translation,Relevant lexicon,Comments,Violence score
752 - 756,187,"invēnēre quidem spoliātō plūrima mundō bellōrum in sūmptūs congestae pondera massae, sed nōn implēbit cupientīs omnia mentēs quidquid fōdit Hibēr, quidquid Tagus expulit aurī, quod lēgit dīves summīs Arimaspus harēnīs",Negative,"finding indeed many a weighty\mass torn from a plundered world, against the costs\of war; but not enough to satisfy their greedy minds. Though they had seized what Spain mines or Tagus\yields, or rich Arimaspians gather from the surface\of Scythian sands",,The sentence is painting the indivduals in a negative light. ,
758 - 760,188,"cum sibi Tarpeiās victor dēsponderit arcēs, cum spē Rōmānae prōmīserit omnia praedae, dēcipitur quod castra rapit",Negative,"They’d promised all in hopes\of plundering Rome, expecting the Tarpeian citadel\would fall to the victor, these men who now pillaged\a mere camp! ",,,
760 - 763,189,"capit impia plēbes caespite patriciō somnōs, strātumque cubīle rēgibus īnfandus mīles premit, inque parentum inque torīs frātrum posuērunt membra nocentēs",Negative,"Impious soldiers slept on turf piled high\for patricians, blood-stained commoners lay on beds\fit for kings, and the guilty rested their bodies where\fathers and brothers had lain. ",,,
764 - 765,190,"quōs agitat vēsāna quiēs, somnīque furentēs Thessalicam miserīs versant in pectore pugnam",Negative,"But nightmares troubled\their sleep, frenzied images of the battlefield disturbed\their tormented minds. ",,,
766 - 767,191,"invigilat cūnctīs saevum scelus, armaque tōtā mente agitant, capulōque manūs absente moventur",Negative,"The guilt for their savage crimes\awake in every heart, their minds were still absorbed\by war, their restless hands grasping at absent swords.",,,
768 - 770,192,"ingemuisse putem campōs, terramque nocentem īnspīrāsse animās, īnfectumque āera tōtum mānibus et superam Stygiā formīdine noctem",Negative,"I can well believe the land groaned, the guilty earth\breathed forth spirits, the air was thick with ghosts,\night in the upper world full of the terrors of hell.",,,
771 - 772,193,"exigit ā meritīs trīstēs victōria poenās, sībilaque et flammās īnfert sopor",Negative,"Their victory rightly demands a grim retribution,\sleep bringing them flames and the serpents’ hiss.",,Feelings of regret plague the soilders showing distaste towards the war.,
772 - 776,194,"umbra perēmptī cīvis adest, sua quemque premit terrōris imāgō: ille senum vultūs, iuvenum videt ille figūrās, hunc agitant tōtīs frāterna cadāvera somnīs, pectore in hōc pater est — omnēs in Caesare mānēs",Negative,"The shades of dead countrymen stand beside them;\each man has his own shape of terror to haunt him:\one sees an old man’s face, another that of youth,\one is troubled all night by his brother’s corpse,\while a father’s ghost weighs on another’s breast,\and every phantom invaded Caesar’s dreams.",,,
777 - 780,195,"haud aliōs nōndum Scythicā pūrgātus in ārā Eumenidum vīdit vultūs Pelopēus Orestēs, nec magis attonitōs animī sēnsēre tumultūs cum fureret Penthēus aut cum dēsīsset Agāvē",Negative,"So Pelopean Orestes gazed on the Furies’ faces,\before he had been cleansed at the Scythian altar.\Neither Pentheus raving nor Agave newly sane\were subject to greater horror or mental turmoil.",,,
781 - 783,196,"hunc omnēs gladiī quōs aut Pharsālia vīdit aut ultrīx vīsūra diēs stringente senātū illā nocte premunt, hunc īnfera mōnstra flagellant",Negative,"That night, all those swords Pharsalia saw, all those\the day of vengeance would see drawn by senators,\were aimed at him; that night, the monsters of hell\scourged him.",,,
784 - 789,197,"et quantum poenae miserō mēns cōnscia dōnat, quod Styga, quod mānēs ingestaque Tartara somnīs Pompeiō vīvente videt! tamen omnia passō, postquam clāra diēs Pharsālica damna retēxit, nūlla locī faciēs revocat fērālibus arvīs haerentīs oculōs",Negative,"Yet how much that guilty conscience\of his could not yet punish, since Pompey still lived\when Caesar viewed the ghosts of the Styx, and all\of Hell, invading his sleep! All this he experienced,\yet when the clear light of day revealed Pharsalia’s\slaughter no feature of the land could drag his eyes\from that fatal field, and he gazed his fill on rivers\running with blood, and mighty mounds of corpses.",,,
789 - 794,198,"cernit prōpulsa cruōre flūmina et excelsōs cumulīs aequantia collēs corpora, sīdentīs in tābem spectat acervōs et Magnī numerat populōs, epulīsque parātur ille locus, vultūs ex quō faciēsque iacentum agnōscat",Negative,"He beheld the heaps of bodies sliding to corruption,\counted nations of dead who had followed Pompey,\while a place was prepared for his meal, from which\he might study the faces and features of those corpses.",,,
794 - 795,199,iuvat Ēmathiam nōn cernere terram et lūstrāre oculīs campōs sub clāde latentēs,Mixed,"He rejoiced that the soil of Emathia was hidden from\view, the plain his eyes gazed on shrouded by corpses.",,,
797 - 799,200,"ac, nē laeta furēns scelerum spectācula perdat, invidet igne rogī miserīs, caelōque nocentī ingerit Ēmathiam",Negative,"And loath to lose, in his madness,\the spectacle of that crime, he refused the wretched\dead a pyre and forced Emathia on a guilty heaven.",,,
799 - 803,201,"nōn illum Poenus humātor cōnsulis et Libycā succēnsae lampade Cannae compellunt hominum rītūs ut servet in hoste, sed meminit nōndum satiātā caedibus īrā cīvēs esse suōs",Negative,"Cannae was lit by Libyan torches when Hannibal\buried Aemilius Paullus, but that example did not\serve to prompt Caesar to show humanity to his foe,\for his anger was not yet sated by slaughter against\these who he knew were his own countrymen.",,,1
806- 808,202,"aut, generī sī poena iuvat, nemus exstrue Pindī, ērige congestās Oetaeō rōbore silvās, Thessalicam videat Pompeius ab aequore flammam",Neutral,"or if he had wished to punish his son-in-law, Caesar\might have heaped up Pindus’ timber and piled high\the oaks from Oeta’s forests, for Pompey, aboard\his ship, to view Pharsalia in flames.",,,0
809 - 811,203,"tābēsne cadāvera solvat an rogus, haud rēfert: placidō nātūra receptat cūncta sinū, fīnemque suī sibi corpora dēbent",Positive,"Still, such\anger achieved nothing; it mattered not whether\fire or putrefaction dissolved those corpses; nature\receives all in her gentle arms, and the dead grant\themselves their own end.",,,0
812 - 813,204,"hōs, Caesar, populōs sī nunc nōn usserit ignis, ūret cum terrīs, ūret cum gurgite pontī",Neutral,"If the flames do not take\them now, they will consume them with the earth\and the ocean waters later, ",,,0
816 - 818,205,"nōn altius ībis in aurās, nōn meliōre locō Stygiā sub nocte iacēbis: lībera Fortūnae mors est",Positive,nor seize a higher place\in Stygian darkness.The dead are free from fate;,,,0
818 - 819,206,"capit omnia tellūs quae genuit, caelō tegitur quī nōn habet urnam",Neutral,earth takes back all she bears; he who has no urn\has the sky to cover him.,,,0
820 - 822,207,"tū, cui dant poenās inhumātō fūnere gentēs, quid fugis hanc clādem? quid olentīs dēseris agrōs? hās trahe, Caesar, aquās, hōc, sī potes, ūtere caelō",Negative,"You, who punish these\soldiers by denying them burial, why should you\flee this carnage, or desert these stinking fields?Drink the water, Caesar; breathe the air if you can.",,,0
823 - 824,208,sed tibi tābentēs populī Pharsālica rūra ēripiunt campōsque tenent victōre fugātō,Neutral,"For the men who decompose there have snatched\Pharsalia from you, routed the victor, hold the field.",,,0
825 - 827,209,"nōn sōlum Haemoniī fūnesta ad pābula bellī, Bistoniī vēnēre lupī tābemque cruentae caedis odōrātī Pholoēn līquēre leōnēs",Neutral,"Not only Bistonian wolves were drawn to the dark\feast Pharsalia offered, but lions too from Pholoe,\scenting the rotting corpses",,,0
828 - 830,210,"tunc ursae latebrās, obscēnī tēcta domōsque dēseruēre canēs, et quidquid nāre sagācī āera nōn sānum mōtumque cadāvere sentit",Negative,"Bears left their dens\and vile dogs came from the villages, every beast\that scents foul air tainted by the smell of corruption.",,,0
832 - 834,211,"vōs, quae Nīlō mūtāre solētis Thrēiciās hiemēs, ad mollem sērius Austrum īstis, avēs",Neutral,Cranes that migrate\to the Nile in Thracian winter delayed their flight\to the warm south.,,,0
834 - 835,212,numquam tantō sē vulture caelum induit aut plūrēs pressērunt āera pinnae,Negative,Never did the sky so shroud itself\with vultures nor a greater host of wings beat the air.,,,0
836 - 837,213,omne nemus mīsit volucrēs omnisque cruentā ālite sanguineīs stillāvit rōribus arbor,Negative,"Every tree sent its birds, and their branches dripped\with crimson dew from those blood-stained feathers.",,,0
838 - 840,214,saepe super vultūs victōris et impia signa aut cruor aut altō dēflūxit ab aethere tābēs membraque dēiēcit iam lassīs unguibus āles,Negative,"When the birds grew weary and dropped dead meat\from their talons, rotting flesh and drops of blood\fell on the victor’s face and his accursed standards.",,,0
841 - 844,215,"sīc quoque nōn omnis populus pervēnit ad ossa inque ferās discerptus abit: nōn intima cūrant vīscera nec tōtās avidae sorbēre medullās, dēgustant artūs",Negative,"That host of dead were not all picked to the bones\nor wholly devoured by those predatory creatures;\for though eating the limbs they ignored the vital\organs, not desirous of prying at the bone-marrow.",,,0
844 - 846,216,"Latiae pars maxima turbae fastīdīta iacet, quam sōl nimbīque diēsque longior Ēmathiīs resolūtam miscuit arvīs",Neutral,"A greater part of the host they left to lie untouched;\corpses days of sun and rain dissolved, blending\them with the soil of Emathia.",,,0
855 - 857,217,"omnia maiōrum vertāmus busta licēbit, et stantīs tumulōs et quī rādīce vetustā effūdēre suās vīctīs compāgibus urnās",Neutral,"Though we should empty the tombs of our ancestors,\those that still stand and those split by ancient roots\whose urns are broken,",,,0
858 - 859,218,plūs cinerum Haemoniae sulcīs tellūris arātur plūraque rūricolīs feriuntur dentibus ossa,Neutral,"those ploughs of Thessaly\will turn up a greater heap of relics from the furrow,\and the harrows that till the fields strike still more.",,,0
870 - 872,219,"quid tōtum premitis, quid tōtum absolvitis orbem? Hesperiae clādēs et flēbilis unda Pachȳnī et Mutina et Leucas pūrōs fēcēre Philippōs",Mixed,"Why burden the whole earth so, and then absolve it? The slaughter at Munda, the mournful sea off Sicily,\Mutina and Actium have cleansed Pharsalia.",,,1
